Fabricante,Modelo,Ano,Categoria,Couro,Combustivel,Volume_motor,Km,Cilindros,Tipo_cambio,Tracao,Portas,Rodas,Cor,Airbags,Preco,Numero_proprietarios
LEXUS,ES 300,2014,Sedan,Sim,Hibrido,2.5,176213,4,Automatico,Dianteira,45,27,Preto,12,,4
MERCEDESBENZ,E 350,2016,Sedan,Sim,Diesel,3.5,77205,6,Automatico,Traseira,45,8,Cinza,12,1568,4
LEXUS,ES 350,2010,Sedan,Sim,gasoli,3.5,187144,6,Automatico,Dianteira,45,1,Preto,12,1254,5
TOYOTA,Prius,2006,Hatchback,o,Hibrido,1.5,,4,Variator,Dianteira,45,3,Red,6,11604,3
TOYOTA,Prius,2013,Hatchback,o,Hibrido,1.8,51000,4,Automatico,Dianteira,45,21,Branco,8,18503,2
CHEVROLET,Orlando,2017,SUV,Sim,Diesel,1.6,65124,4,Automatico,Dianteira,45,10,Cinza,4,36197,1
KIA,Optima,2013,Sedan,Sim,Gasoli,2.0 Turbo,,4,Tiptronic,Dianteira,45,15,Branco,16,19757,5
OPEL,Corsa,2008,Sedan,o,Dies.,1.3 Turbo,170000,3,Manual,Dianteira,23,4,Preto,6,10349,4
VOLKSWAGEN,Golf,2013,Hatchback,o,Gasoli,2.5,,4,Tiptronic,Dianteira,45,8,Preto,12,15994,2
HYUNDAI,H1,2009,Minivan,Sim,Dies.,2.5 Turbo,120000,6,Tiptronic,Traseira,>5,23,Prata,12,21953,2
KIA,Carnival,2006,Minivan,o,DIESEL,2.9 Turbo,171000,4,Manual,Dianteira,45,17,Preto,8,11290,5
TOYOTA,Camry SE,2018,Sedan,Sim,GASOLI,2.5,,4,Automatico,Dianteira,45,17,Preto,10,38260,1
TOYOTA,Aqua,2013,Hatchback,o,Hibrido,1.5,143000,4,Automatico,Dianteira,45,24,Branco,8,9722,3
LEXUS,RX 350,2012,SUV,Sim,gasoli,3.5,232357,6,Automatico,4x4,45,20,Preto,12,6272,4
TOYOTA,Highlander,2011,Sedan,Sim,Hibrido,3.5,368064,6,Automatico,4x4,45,32,Cinza,12,21639,2
BMW,X5,2010,SUV,Sim,diesel,3.0 Turbo,248000,6,Tiptronic,4x4,45,3,Preto,12,38574,3
HYUNDAI,Elantra,2015,Sedan,Sim,GASOLI,1.6,75000,4,Automatico,Dianteira,45,13,Branco,4,20526,3
VOLKSWAGEN,Jetta,2017,Sedan,Sim,Gasoli,1.4 Turbo,50000,4,Tiptronic,Dianteira,45,28,Branco,4,26657,2
MERCEDESBENZ,Viano,2013,Minivan,Sim,Diesel,2.2 Turbo,250000,4,Tiptronic,Traseira,45,21,Cinza,7,53314,5
HONDA,Fit Aria,2003,Hatchback,o,gasoli,1.5 Turbo,140203,16,Automatico,Dianteira,45,21,Prata,2,7000,1
MAZDA,1000,2018,SUV,Sim,Gasoli,2.5,42246,4,Automatico,4x4,45,2,Cinza,0,37633,3
TOYOTA,ISIS,2006,Minivan,o,GASOLI,2,,4,Variator,Dianteira,45,8,Branco,8,9095,2
TOYOTA,Highlander,2009,SUV,Sim,Hibrido,3.3,420550,6,Automatico,4x4,45,16,Azul,12,12074,2
HYUNDAI,Elantra,2016,Sedan,Sim,gasoli,1.6,144889,4,Automatico,Dianteira,45,32,Branco,4,,1
HYUNDAI,Tucson,2007,SUV,Sim,Gasoli,2.7,199000,6,Tiptronic,4x4,45,11,Preto,6,19757,5
NISSAN,Versa,2012,Sedan,o,Gasoli,1.6,109000,4,Automatico,Dianteira,45,16,Azul,2,11290,4
TOYOTA,Prius,2013,Hatchback,Sim,Hibrido,1.8,130000,4,Automatico,Dianteira,45,28,Branco,12,15367,2
BMW,X5,2015,SUV,Sim,DIESEL,3,201056,6,Automatico,4x4,45,2,Preto,0,3607,3
CHEVROLET,Cruze,2014,Sedan,o,gasoli,1.4,,4,Tiptronic,Dianteira,45,4,Prata,10,15053,4
FORD,Fusion,2011,Sedan,Sim,Hibrido,2.5,49669,4,Automatico,Dianteira,45,13,Prata,0,12544,2
TOYOTA,Prius,2010,Hatchback,Sim,Hibrido,1.8,118000,4,Tiptronic,Dianteira,45,3,Azul,10,15994,1
CHEVROLET,Cruze LT,2017,Hatchback,o,Gasoli,1.4,62971,4,Automatico,Dianteira,45,7,Preto,8,14583,2
FORD,Fusion,2016,Sedan,o,Gasol.,1.5 Turbo,93000,4,Tiptronic,Dianteira,45,26,Cinza,8,14740,2
HYUNDAI,Sota,2015,Sedan,o,Gasol.,2.4,91200,4,Tiptronic,Dianteira,45,5,Preto,12,21953,3
OPEL,Astra G,2002,Universal,o,Diesel,1.7 Turbo,270000,4,Manual,Dianteira,45,17,Prata,2,6272,3
AUDI,A4,2006,Sedan,Sim,GASOLI,2.0 Turbo,278173,4,Tiptronic,4x4,45,25,Prata,6,7527,1
FORD,Focus,2015,Sedan,Sim,Gasol.,2,94600,4,Tiptronic,Dianteira,45,4,Preto,6,11447,4
HYUNDAI,Sota,2011,Sedan,Sim,Gasoli,2,162095,4,Automatico,Dianteira,45,10,Cinza,4,14069,1
HYUNDAI,Sota,2012,Sedan,Sim,Hibrido,2.4,246450,4,Automatico,Dianteira,45,25,Prata,12,549,5
JAGUAR,Ftype,2015,SUV,Sim,Gasol.,3,24984,6,Automatico,Traseira,23,1,Red,12,78,2
TOYOTA,CHR,2018,SUV,Sim,Gasoli,2,25850,4,Automatico,Dianteira,45,30,Cinza,12,784,4
MITSUBISHI,Grandis,2006,Minivan,o,GASOLI,2.4,131000,4,Tiptronic,4x4,45,12,Branco,4,14113,5
MERCEDESBENZ,E 350,2013,Sedan,Sim,diesel,3.5,,6,Automatico,Traseira,45,4,Cinza,12,5802,5
CHEVROLET,Cruze,2010,Sedan,Sim,DIESEL,2,47221,4,Automatico,Dianteira,45,20,Preto,4,6868,4
HONDA,Insight,2013,Hatchback,Sim,Hibrido,1.3,143597,4,Automatico,Dianteira,45,25,Prata,0,862,1
HYUNDAI,Sota,2014,Sedan,Sim,Hibrido,2.4,247835,4,Automatico,Dianteira,45,2,Preto,0,1882,4
TOYOTA,Highlander,2010,SUV,Sim,Hibrido,3.3,,6,Automatico,4x4,45,32,Branco,12,4861,5
HYUNDAI,Elantra,2011,Sedan,Sim,gasoli,1.6,,4,Automatico,Dianteira,45,12,Prata,4,20266,4
TOYOTA,Prius,2010,Sedan,o,Hibrido,1.8,154000,4,Automatico,Dianteira,45,25,Cinza,10,11604,4
TOYOTA,Highlander,2010,Sedan,Sim,Hibrido,3.3,345405,6,Automatico,4x4,45,1,Prata,12,5645,5
CHEVROLET,Cruze,2011,Sedan,o,Gasoli,1.4 Turbo,178000,4,Automatico,Dianteira,45,10,Red,8,12858,2
MERCEDESBENZ,Vito,2004,Vagao de carga,o,diesel,2.2 Turbo,555555,4,Manual,Traseira,45,19,Branco,2,9408,2
BMW,528,2012,Sedan,Sim,gasoli,3,150000,6,Tiptronic,Traseira,45,9,Prata,12,21326,1
HYUNDAI,Genesis,2010,Cupê,Sim,GASOLI,2,95510,4,Automatico,Dianteira,45,20,Prata,4,16327,5
MERCEDESBENZ,E 430,1999,Sedan,Sim,Gasol.,4.3,333333,8,Automatico,Traseira,45,16,Roxo,4,9408,3
TOYOTA,Camry,2012,Sedan,Sim,gasoli,2.5,167360,4,Tiptronic,Dianteira,45,20,Branco,6,19444,2
CHEVROLET,Volt,2014,SUV,Sim,Hibrido,1.4,133195,4,Automatico,Dianteira,45,20,Preto,0,862,5
HYUNDAI,Sota,2018,Sedan,Sim,Gasol.,2,75938,4,Automatico,Dianteira,45,29,Branco,4,69502,2
HYUNDAI,Santa FE,2014,SUV,Sim,Diesel,2,,4,Automatico,Dianteira,45,32,Cinza,4,38737,2
HONDA,FIT S,2010,Hatchback,o,Gasoli,1.3,138000,4,Automatico,4x4,45,8,Prata,7,11760,5
HONDA,Inspire,2003,Sedan,o,gasoli,3,149000,6,Tiptronic,Dianteira,45,13,Preto,6,8154,2
FORD,Transit,1995,Microonibus,o,Diesel,2.5 Turbo,150000,5,Manual,Traseira,45,13,Branco,2,,4
LINCOLN,Town Car,2005,Limousine,Sim,Gasoli,4.6 Turbo,72000,8,Automatico,Traseira,45,4,Branco,12,30420,1
NISSAN,Juke,2013,SUV,Sim,GASOLI,1.6,312118,4,Automatico,Dianteira,45,2,Preto,0,7213,3
LEXUS,HS 250h,2011,Sedan,Sim,Hibrido,2.4,0,4,Automatico,Dianteira,45,6,Prata,12,470,1
TOYOTA,Prius,2013,Hatchback,o,Hibrido,1.5,150400,4,Automatico,Dianteira,45,32,Preto,16,40,5
MERCEDESBENZ,E 350,2009,Sedan,Sim,DIESEL,3.5,266061,6,Automatico,4x4,45,17,Preto,12,1411,1
HONDA,FIT,2014,Hatchback,Sim,Hibrido,1.5,,4,Automatico,Dianteira,45,12,Preto,4,13328,3
MERCEDESBENZ,E 200,1988,Sedan,o,Gasoli,2,1000,4,Manual,Traseira,45,20,Preto,4,8467,4
LEXUS,RX 450,2010,SUV,Sim,Hibrido,3.5,167222,6,Automatico,4x4,45,27,Preto,12,5018,2
LAND ROVER,Land Rover Sport,2014,SUV,Sim,DIESEL,3.0 Turbo,126000,6,Automatico,4x4,45,10,Branco,12,114468,4
HYUNDAI,H1,2011,Minivan,Sim,Diesel,2.5,85226,4,Automatico,Dianteira,45,19,Azul,4,13454,2
MERCEDESBENZ,CLS 500,2005,Sedan,Sim,GASOLI,5,230000,8,Tiptronic,Traseira,45,5,Prata,10,20385,1
MERCEDESBENZ,C 250,2014,Cupê,Sim,gasoli,1.8,121699,4,Automatico,Traseira,23,29,Preto,12,1646,1
TOYOTA,Venza,2013,SUV,Sim,GASOLI,2.7,186349,4,Automatico,4x4,45,31,Branco,12,4547,5
TOYOTA,Tundra,2014,Sedan,Sim,Gasoli,5.7,0,8,Automatico,4x4,45,7,Branco,12,3293,2
HYUNDAI,Elantra,2011,Sedan,Sim,GASOLI,1.6,125062,4,Automatico,Dianteira,45,16,Preto,4,20266,3
SSANGYONG,REXTON,2013,SUV,Sim,diesel,2,,4,Automatico,Dianteira,45,1,Branco,4,35043,1
MITSUBISHI,RVR,2012,Hatchback,o,Gasol.,1.8,139000,4,Automatico,Dianteira,45,17,Branco,6,,1
KIA,Sportage,2007,SUV,Sim,Diesel,2,58497,4,Automatico,Dianteira,45,25,Prata,4,4701,1
MERCEDESBENZ,E 350,2009,Sedan,Sim,Diesel,3.5,109139,6,Automatico,Traseira,45,7,Preto,12,3450,1
TOYOTA,Prius,2013,Sedan,o,Hibrido,1.8,97386,4,Variator,Dianteira,45,18,Red,8,19444,2
FORD,Escape,2011,SUV,Sim,Hibrido,2.5,130306,4,Automatico,4x4,45,22,Verde,0,314,4
OPEL,Vectra,1999,Sedan,o,Gasoli,1.6,266342,4,Manual,Dianteira,45,30,Verde,2,8154,4
TOYOTA,Aqua,2013,Hatchback,o,Hibrido,1.5,50000,4,Variator,Dianteira,45,30,Cinza,6,17249,3
CHRYSLER,Town and Country,2008,Minivan,o,Gasoli,3.3,272000,6,Tiptronic,Dianteira,45,20,Branco,6,14113,5
HYUNDAI,H1,2011,Minivan,Sim,DIESEL,2.5,55248,4,Automatico,Dianteira,45,28,Preto,4,18660,5
VOLKSWAGEN,Jetta,2012,Sedan,Sim,Gasoli,2.5,76000,5,Tiptronic,Dianteira,>5,19,Branco,12,10976,4
MERCEDESBENZ,GL 550,2014,SUV,Sim,GASOLI,4.6,98466,8,Automatico,4x4,45,25,Branco,12,9565,2
LEXUS,GX 460,2010,SUV,Sim,Gasol.,4.6,275240,8,Automatico,4x4,45,24,Prata,0,15681,4
HYUNDAI,Elantra,2010,Sedan,Sim,GASOLI,1.6,111280,4,Automatico,Dianteira,45,23,Branco,4,18531,2
MERCEDESBENZ,E 350,2009,Sedan,Sim,Diesel,3.5,109139,6,Automatico,Traseira,45,30,Preto,12,5018,1
TOYOTA,Land Cruiser Prado,2014,SUV,o,diesel,3,90000,4,Manual,4x4,45,20,Branco,6,,2
SUBARU,Forester,2012,SUV,Sim,GASOLI,2.5,148213,4,Automatico,4x4,45,27,Azul,0,549,1
CHEVROLET,Impala,2019,Sedan,Sim,GASOLI,3.6,18438,6,Automatico,Dianteira,45,23,Prata,12,3450,3
OPEL,Astra,1999,Vagao de carga,o,Gasoli,1.6,258000,4,Manual,Dianteira,45,6,Azul,2,5959,4
TOYOTA,RAV 4,2013,SUV,o,Gasoli,2.5,90000,4,Automatico,Dianteira,45,24,Cinza,7,33000,2
MERCEDESBENZ,E 350,2009,Sedan,Sim,Diesel,3.5,266061,6,Automatico,4x4,45,4,Preto,12,1411,1
MERCEDESBENZ,E 350,2012,Sedan,Sim,DIESEL,3.5,318285,6,Automatico,4x4,45,12,Preto,12,627,4
SUBARU,XV LIMITED,2013,SUV,Sim,GASOLI,2,77777,4,Variator,4x4,45,12,Laranja,7,8781,4
OPEL,Vectra,1998,Sedan,o,Gasoli,1.6,214000,4,Automatico,Dianteira,45,6,Marrom,4,4500,2
HYUNDAI,Santa FE,2016,SUV,Sim,diesel,2,176927,4,Automatico,Dianteira,45,27,Preto,4,40057,5
CHEVROLET,Captiva,2007,SUV,Sim,Diesel,2,57438,4,Automatico,Dianteira,45,20,Prata,4,4359,2
TOYOTA,Prius C,2013,Hatchback,Sim,Hibrido,1.5,114000,4,Automatico,Dianteira,45,18,Red,7,19444,4
MAZDA,Premacy,2005,Minivan,o,Gasoli,1.8,170000,4,Automatico,Dianteira,45,7,Prata,6,3136,3
TESLA,Model X,2018,Sedan,Sim,gasoli,0,81907,6,Automatico,4x4,45,8,Prata,12,53941,3
SSANGYONG,Actyon,2016,SUV,Sim,Dies.,1.6,,4,Automatico,Dianteira,45,10,Red,4,39750,4
MAZDA,CX7,2011,SUV,Sim,Gasoli,2.5,,4,Automatico,Dianteira,45,25,Azul,12,392,4
FORD,Transit,1995,Microonibus,o,diesel,2.5,327389,4,Manual,Traseira,45,16,Azul,2,10349,4
TOYOTA,Camry,2012,Sedan,Sim,Hibrido,2.5,68000,4,Automatico,Dianteira,45,22,Preto,0,32929,1
HYUNDAI,Santa FE,2011,SUV,Sim,Diesel,2,142000,4,Automatico,Dianteira,45,6,Preto,4,26255,2
TOYOTA,Prius,2008,Hatchback,Sim,Hibrido,1.5,193000,4,Automatico,Dianteira,45,6,Prata,12,14740,5
BMW,X5,2008,SUV,Sim,Gasoli,4.8,145000,8,Tiptronic,4x4,45,7,Preto,12,21012,1
HYUNDAI,Elantra,2015,Sedan,Sim,GASOLI,1.6,109000,4,Automatico,Dianteira,45,3,Branco,4,27654,2
MERCEDESBENZ,E 350,2012,Sedan,Sim,GASOLI,3.5,291200,6,Tiptronic,Traseira,45,10,Preto,0,25089,1
MINI,Cooper,2004,Cupê,Sim,Gasoli,1.6,12800,4,Tiptronic,Dianteira,23,11,Red,4,8938,1
TOYOTA,Ist,2005,Hatchback,o,Gasol.,1.3,135000,4,Automatico,Dianteira,45,32,Branco,0,10349,1
TOYOTA,Prius,2012,Hatchback,Sim,Hibrido,2,181600,4,Variator,Dianteira,45,29,Azul,8,20698,5
TOYOTA,RAV 4,2016,SUV,Sim,GASOLI,2.5,125675,4,Automatico,4x4,45,19,Red,12,392,5
MERCEDESBENZ,R 350,2011,SUV,Sim,DIESEL,3,174101,6,Automatico,4x4,45,29,Preto,12,7213,5
CHEVROLET,Orlando,2012,SUV,Sim,Diesel,2,163000,4,Automatico,Dianteira,45,16,Cinza,4,,5
HYUNDAI,Sota,2016,Sedan,Sim,Gasol.,2,112161,4,Automatico,Dianteira,45,19,Branco,4,21326,4
VOLKSWAGEN,Jetta,2012,Sedan,Sim,Dies.,2,188603,4,Automatico,Dianteira,45,7,Cinza,12,627,2
BMW,135,2010,Cupê,Sim,Gasol.,3,108826,6,Automatico,Traseira,23,6,Red,12,2901,2
HYUNDAI,Elantra,2018,Sedan,Sim,Gasol.,1.6,54865,4,Automatico,Dianteira,45,18,Cinza,4,,2
SSANGYONG,Actyon,2011,SUV,Sim,DIESEL,2,122918,4,Automatico,Dianteira,45,3,Prata,4,17942,5
MITSUBISHI,Outlander,2003,SUV,o,gasoli,2.4,156000,4,Tiptronic,4x4,45,18,Prata,4,10663,1
DAEWOO,Lacetti,2009,Sedan,Sim,GASOLI,1.6,52020,4,Automatico,Dianteira,45,25,Branco,4,7056,5
MERCEDESBENZ,E 200,1994,Sedan,o,Gasoli,2,368268,4,Manual,Traseira,45,1,Cinza,4,7840,1
MERCEDESBENZ,ML 350,2014,SUV,Sim,DIESEL,3.5,0,6,Automatico,4x4,45,10,Prata,12,1646,3
TOYOTA,Camry,2018,Sedan,Sim,gasoli,2.5,54786,4,Automatico,Dianteira,45,4,Preto,0,5802,2
FORD,Fusion,2013,Sedan,Sim,Hibrido,2,320554,4,Automatico,Dianteira,45,12,Branco,0,4077,4
LEXUS,RX 350,2013,SUV,Sim,Gasoli,3.5,73000,6,Tiptronic,4x4,45,22,Preto,16,62722,3
HYUNDAI,Sota,2016,Sedan,Sim,Hibrido,2,71218,4,Automatico,Dianteira,45,7,Preto,0,5018,3
VOLKSWAGEN,Passat,2012,Sedan,Sim,Gasoli,2.5,,4,Automatico,Dianteira,45,29,Prata,5,18503,4
DAEWOO,Lacetti,2010,Sedan,Sim,GASOLI,1.6,81709,4,Automatico,Dianteira,45,29,Branco,4,7806,1
MERCEDESBENZ,E 240,2002,Sedan,Sim,Gás tural,2.6,189000,6,Tiptronic,Traseira,45,20,Prata,8,12231,5
LEXUS,RX 450,2010,SUV,Sim,Hibrido,3.5,186005,6,Automatico,4x4,45,8,Prata,0,14269,1
KIA,Cadenza,2011,Sedan,Sim,Gasoli,2.7,,6,Automatico,Dianteira,45,3,Preto,4,,5
FORD,Mustang,2011,Cupê,Sim,GASOLI,5,58000,8,Tiptronic,Traseira,23,31,Azul,6,21326,1
TOYOTA,Camry,2012,Sedan,Sim,Gasoli,2.5,145600,6,Automatico,Dianteira,45,5,Prata,4,23521,3
OPEL,Zafira,2006,Minivan,o,Diesel,1.9 Turbo,188570,4,Automatico,Dianteira,45,6,Prata,6,10036,2
MERCEDESBENZ,ML 350,2011,SUV,Sim,Gasoli,3.5,186542,6,Automatico,4x4,45,26,Branco,12,2038,4
TOYOTA,Aqua,2012,Sedan,o,Hibrido,1.5,174000,4,Automatico,Dianteira,45,12,Prata,4,11604,4
TOYOTA,Corolla S,2016,Sedan,Sim,Gasol.,1.8,,4,Automatico,Dianteira,45,25,Preto,8,17249,3
HYUNDAI,Tucson,2008,SUV,o,GASOLI,2,194286,2,Manual,4x4,45,12,Cinza,0,15681,1
MERCEDESBENZ,E 350,2010,Sedan,Sim,Gasoli,6.2,274771,8,Automatico,Traseira,45,16,Branco,12,314,4
TOYOTA,Tacoma,2013,Sedan,Sim,Gasoli,4,57554,6,Automatico,4x4,45,22,Prata,12,19130,3
LEXUS,GX 470,2013,SUV,Sim,Gasoli,4.6,202651,8,Automatico,4x4,45,18,Preto,0,54568,2
BMW,X5,2013,SUV,Sim,Diesel,3.0 Turbo,124800,6,Automatico,4x4,45,32,Cinza,12,51746,3
TOYOTA,Prius,2010,Sedan,Sim,Hibrido,1.8,0,4,Automatico,Dianteira,45,16,Preto,12,14113,5
CHEVROLET,Traverse,2010,SUV,o,GASOLI,3.6,200000,4,Automatico,4x4,45,25,Prata,0,15681,2
HYUNDAI,Tucson,2017,SUV,Sim,Diesel,1.7,31220,4,Automatico,Dianteira,45,20,Branco,4,50184,5
MITSUBISHI,Outlander,2014,SUV,Sim,Gasoli,2,136000,4,Tiptronic,Dianteira,45,29,Branco,12,18817,3
LEXUS,CT 200h,2011,Hatchback,Sim,Hibrido,1.8,116869,4,Automatico,Dianteira,45,1,Preto,0,706,2
MAZDA,Demio,2005,Sedan,o,Gasoli,1.3,293940,4,Manual,Dianteira,45,19,Azul,2,5645,3
AUDI,A4,2017,Sedan,Sim,Gasol.,2,110051,4,Automatico,4x4,45,5,Cinza,0,1019,3
OPEL,Vectra,1997,Sedan,o,GASOLI,2,,4,Manual,Dianteira,45,23,Azul,2,4234,1
VOLKSWAGEN,Jetta GLI,2012,Sedan,o,GASOLI,2.0 Turbo,139555,4,Manual,Dianteira,45,14,Preto,8,16500,1
LEXUS,GX 470,2008,SUV,Sim,gasoli,4.7,218126,8,Automatico,4x4,45,29,Preto,0,282,1
FORD,Transit Connect,2014,Vagao de carga,o,Dies.,1.8 Turbo,176000,4,Manual,Dianteira,45,5,Branco,6,13485,4
CHEVROLET,Cruze,2019,Sedan,Sim,gasoli,1.4,78771,4,Automatico,Dianteira,45,21,Cinza,12,2979,4
HYUNDAI,Accent,2015,Sedan,Sim,Diesel,1.6,112360,4,Automatico,Dianteira,45,1,Prata,4,16289,1
TOYOTA,Prius,2010,Hatchback,o,Hibrido,1.8,260000,4,Automatico,Dianteira,45,7,Red,12,12544,5
TOYOTA,Prius,2011,Sedan,o,Hibrido,1.8,178000,4,Automatico,Dianteira,45,9,Branco,6,60,5
MERCEDESBENZ,ML 350 4 MATIC,2012,SUV,Sim,Gasoli,3.5,144000,6,Tiptronic,4x4,45,5,Cinza,12,50805,1
NISSAN,Juke,2012,SUV,Sim,Gasoli,1.6,167405,4,Automatico,4x4,45,1,Preto,0,8781,2
CHEVROLET,Volt,2012,SUV,Sim,Hibrido,1.4,188419,4,Automatico,Dianteira,45,32,Red,0,627,3
MERCEDESBENZ,CLK 55 AMG,2003,Cupê,Sim,gasoli,5.5,240000,8,Tiptronic,Traseira,23,32,Preto,8,28225,1
MERCEDESBENZ,E 350,2012,Sedan,Sim,GASOLI,3.5,890000,6,Tiptronic,Traseira,45,16,Cinza,12,30800,3
SSANGYONG,Korando,2012,SUV,Sim,Diesel,2,155255,4,Automatico,Dianteira,45,18,Laranja,4,23239,1
FORD,Fiesta,2010,Hatchback,o,Gasoli,1.6,153600,4,Automatico,Dianteira,45,15,Vermelho,6,12544,2
HYUNDAI,Elantra,2014,Sedan,Sim,Gasoli,1.6,164649,4,Automatico,Dianteira,45,16,Cinza,4,15624,5
VOLKSWAGEN,Jetta,2014,Sedan,Sim,DIESEL,2,82392,4,Automatico,Dianteira,45,16,Prata,12,1568,5
NISSAN,Note,2005,Hatchback,o,Gasoli,1.5,117000,4,Variator,Dianteira,45,28,Branco,4,,1
MAZDA,CX5,2013,SUV,o,Gasoli,2.5,91000,4,Tiptronic,4x4,45,25,Prata,10,15053,1
NISSAN,Juke,2014,SUV,Sim,Gasoli,1.6,158280,4,Automatico,Dianteira,45,24,Branco,0,784,4
AUDI,Q5,2013,SUV,Sim,Hibrido,2,261160,4,Automatico,4x4,45,14,Preto,0,20698,1
FORD,Taurus,2017,Sedan,Sim,Gasoli,2,44534,4,Automatico,Dianteira,45,23,Preto,4,58495,3
SUZUKI,Kizashi,2010,Sedan,o,Gasoli,2.4,92000,4,Manual,Dianteira,45,6,Branco,6,15053,5
MERCEDESBENZ,ML 350,2010,SUV,Sim,Gasoli,3.5,,12,Tiptronic,4x4,45,15,Preto,12,31988,3
SUBARU,XV,2015,SUV,Sim,Gasol.,2,250005,4,Automatico,4x4,45,8,Preto,0,19444,4
MERCEDESBENZ,C 220,2006,Sedan,o,DIESEL,2.2 Turbo,300000,4,Automatico,Traseira,45,21,Preto,12,17562,4
MERCEDESBENZ,E 350,2014,Sedan,Sim,DIESEL,3.5,95987,6,Automatico,4x4,45,17,Preto,12,220,4
CHEVROLET,Malibu,2013,Sedan,Sim,GASOLI,2,106048,4,Automatico,Dianteira,45,17,Preto,4,24283,1
TOYOTA,Camry,2011,Sedan,Sim,Gasol.,2.5,201578,4,Automatico,Dianteira,45,17,Cinza,12,188,3
TOYOTA,Highlander,2008,SUV,Sim,Hibrido,3.3,215000,6,Tiptronic,4x4,45,19,Branco,12,,4
HYUNDAI,H1,2011,Microonibus,Sim,diesel,2,55622,4,Automatico,Dianteira,45,11,Prata,4,21805,4
HYUNDAI,H1,2009,Universal,Sim,DIESEL,2.5,,4,Automatico,Dianteira,45,27,Amarelo,4,16766,4
TOYOTA,Prius,2014,Sedan,o,Hibrido,1.8,125000,4,Automatico,Dianteira,45,16,Branco,10,19444,2
FORD,Escape,2013,SUV,Sim,Gasol.,2.5,,4,Automatico,Dianteira,45,13,Prata,12,1176,4
FORD,Transit,2007,Microonibus,o,Dies.,2.4,,4,Manual,Traseira,45,32,Branco,2,15681,5
HYUNDAI,Elantra,2013,Sedan,Sim,Gasoli,1.6,31691,4,Automatico,Dianteira,45,25,Branco,4,11917,5
TOYOTA,Land Cruiser Prado,2002,SUV,o,diesel,3.0 Turbo,27000,4,Manual,4x4,45,17,Prata,4,26657,4
MERCEDESBENZ,A 140,2004,Hatchback,o,gasoli,1.4,167000,4,Automatico,Dianteira,45,23,Azul ceu,4,8154,2
REULT,Lagu,2002,Hatchback,Sim,gasoli,2.9,25000,6,Tiptronic,Dianteira,45,6,Prata,6,,2
LEXUS,RX 350,2011,SUV,Sim,Gasoli,3.5,253174,6,Automatico,4x4,45,17,Prata,12,3450,2
HYUNDAI,Elantra,2018,Sedan,Sim,GASOLI,1.6,35798,4,Automatico,Dianteira,45,30,Branco,4,30931,5
HYUNDAI,Elantra,2018,Sedan,Sim,Gasol.,1.6,71551,4,Automatico,Dianteira,45,7,Cinza,4,36401,5
HYUNDAI,Santa FE,2016,SUV,Sim,diesel,2,101671,4,Automatico,Dianteira,45,14,Branco,4,54393,4
SSANGYONG,REXTON,2016,SUV,Sim,Diesel,2.2,115193,4,Automatico,Dianteira,45,1,Branco,4,44166,5
MERCEDESBENZ,E 350,2014,Sedan,Sim,diesel,3.5,149486,6,Automatico,4x4,45,31,Prata,12,,1
TOYOTA,Prius,2010,Hatchback,Sim,Hibrido,1.8,128000,4,Automatico,Dianteira,45,29,Branco,4,15681,5
BMW,328,2016,Sedan,Sim,GASOLI,2.0 Turbo,32000,4,Tiptronic,Traseira,45,32,Branco,8,47042,5
HONDA,FIT,2014,Hatchback,o,Hibrido,1.5,271225,3,Automatico,Dianteira,45,4,Prata,2,10349,2
LEXUS,HS 250h,2010,Sedan,Sim,Gasoli,2.5,79000,4,Automatico,Dianteira,45,15,Cinza,8,23207,1
LEXUS,CT 200h,2012,Hatchback,Sim,Hibrido,1.8,192683,4,Automatico,Dianteira,45,19,Branco,0,627,3
DAIHATSU,YRV,2002,Universal,o,Gasoli,1.3,120000,4,Manual,Dianteira,45,4,Branco,2,4077,4
MERCEDESBENZ,E 200,2011,Sedan,o,Gás tural,2,11111,4,Manual,Traseira,45,9,Bege,0,200,2
NISSAN,Altima,2016,Sedan,Sim,Gasoli,2.5,142469,4,Automatico,Dianteira,45,10,Cinza,12,2430,3
MITSUBISHI,Colt,2003,Hatchback,o,Gasol.,1.3,0,4,Automatico,Dianteira,45,7,Azul,2,6115,5
HYUNDAI,Elantra,2014,Sedan,Sim,GASOLI,1.6,120000,4,Automatico,Dianteira,45,4,Prata,4,25591,2
MERCEDESBENZ,E 350,2010,Sedan,Sim,gasoli,6.2,274771,8,Automatico,Traseira,45,6,Branco,12,314,3
SUBARU,Forester,2000,SUV,o,Gás tural,2,200000,4,Automatico,4x4,45,18,Branco,4,6272,4
TOYOTA,Camry,2012,Sedan,Sim,Gasoli,2.5,,4,Tiptronic,Dianteira,45,32,Preto,12,,4
CADILLAC,Allante,2019,Sedan,Sim,GASOLI,3.6,41198,6,Automatico,4x4,45,13,Prata,12,19130,2
TOYOTA,Ist,2002,Hatchback,o,gasoli,1.5,117000,4,Automatico,4x4,45,24,Red,4,8781,3
MITSUBISHI,Outlander,2011,SUV,Sim,GASOLI,3,123000,6,Automatico,4x4,45,24,Prata,8,20071,1
KIA,Sportage,2020,Sedan,Sim,gasoli,2.4,17466,4,Automatico,Dianteira,45,15,Preto,12,8311,3
